Questions,Blooms Taxonomy
There are eleven professors in a Department. Each professor wants to deliver lecture on same day. Each professor has to conduct the lecture in given lecture limit to earn the credit. Professor earns credit if and only if lecture is arranged on or before its time limit. Assume that each lecture will take 1 unit of time. Calculate the maximum total credit earned by all professors of the Department using greedy approach.,Analyze
Apply recursion tree method on below recurrence relation to do the analysis.,Apply
"Put these items in a knapsack of capacity W=50 to get the maximum total value in the knapsack. You cannot break an item, either pick the complete item or donâ€™t pick it (0-1 property). Apply the greedy approach to solve the optimization problem and derive the value.",Apply
"Put these items in a knapsack of capacity W=50 to get the maximum total value in the knapsack. You cannot break an item, either pick the complete item or donâ€™t pick it (0-1 property). Is the solution optimal? Justify.",Create
"Show and explain the relationship between P, NP, NP-Hard and NP- Complete problems by drawing an appropriate diagram.","Apply, Analyze"
Design recursive and non-recursive functions for Fibonacci sequence and compare the time requirement in both the approaches.,Create
Apply the Dijkstraâ€™s single source shortest path algorithm on the following edge weighted directed graph. Output the sequence of vertices identified by the Dijkstraâ€™s algorithm for single source shortest path when the algorithm is started at node P.,Apply
Apply the Dijkstraâ€™s single source shortest path algorithm on the following edge weighted directed graph. What is the cost of shortest path from P to U?,"Apply, Remember"
Apply the Dijkstraâ€™s single source shortest path algorithm on the following edge weighted directed graph. Analyze the time requirement of Dijkstraâ€™s algorithm.,Apply
Give at least two applications of minimum cost spanning tree. Name algorithms to construct the minimum cost spanning tree. Compute and draw the number of distinct minimum spanning trees for the weighted graph below.,"Remember, Apply"
"Design an algorithm for checking whether two given words are anagrams i.e. whether one word can be obtained by permuting letters zero or more times of the other word. For example, words tea and eat are anagrams.",Create
Name algorithm with O(nlogn) time complexity. Also specify the space requirement.,Remember
Bellman ford algorithm does not work for graphs with ______________________.,Remember
Name graph traversal technique used by backtracking approach to traverse the solution space.,Remember
Discuss the running time of Strassenâ€™s algorithm for matrix multiplication.,Understand
Calculate number of unique colors required for proper vertex coloring of a complete graph having n vertices.,Analyze
"Merge sort uses divide, conquer and combine approach to sort the data. Identify the complexity of combine step in merge sort algorithm.",Understand
"Describe the characteristics of the problem, which can be solved using Dynamic Programming. Give an example.",Understand
"The worst case complexity of Insertion sort algorithm is O(n2), justify.",Create
"Consider the following scenario: you are studying for an exam and you have to study N questions. The questions take {t1, t2, t3, ... tn} time (in hours) and carry {m1, m2, m3,...., mn} marks. You can study for a maximum of T hours. You can either study a question or leave it. Name any two possible approaches to choose the questions in such a way that your score is maximize.","Evaluate, Remember"
Show the data arrangement of quick sort in the worst case. Mention the recurrence relation of quick sort for the worst case and derive the time complexity.,Apply
Apply the Rabin-Karp algorithm on text T = 564159265359 and pattern P = 26 to find the number of exact match and spurious hits. Assume that modulo q= 11.,Apply
"Given a chain of four matrices, A1, A2, A3, A4 with dimensions 5 Ã— 4, 4 Ã— 6, 6 Ã— 2 and 2 Ã— 7, respectively. Consider the below table M with certain computation given. Calculate the missing entries for finding the optimal cost of multiplying these matrices.","Evaluate, Analyze"
Solve 4-queen problem for all the possible solutions using Backtracking approach.,Create
"Show the recursive and dynamic programming formulas to find the Longest Common Subsequence(LCS). Apply the dynamic programming approach to find the LCS of given two strings: S1: president, S2: providence.",Apply
Name the algorithm used to find the shortest distances between every pair of vertices in a Graph. Apply the method to compute the shortest distances on below edge-weighted directed Graph.,"Remember, Apply"
Apply the appropriate approach to find the multiplication of 1234 Ã— 4567 with time complexity less than n2. Analyze the method to prove that complexity is less than n2.,Apply
"Three jobs A, B, C are to be assigned to three machines X, Y, Z. The processing costs are given in the matrix shown below. Determine the allocation of jobs, which minimizes the overall processing cost.",Apply
"Consider two strings A = ""qpqrr"" and B = ""pqprqrp"". Let x be the length of the longest common subsequence (not necessarily contiguous) between A and B and let y be the number of such longest common subsequences between A and B. Then x + 10y =",Evaluate
What is the best case and worst-case complexity of ordered linear search?,Remember
"Arrange the following function in ascending order of their growth? F1(n)=2n, F2(n)=n3/2 , F3(n)=nlog2n, F4(n)=nlog2n",Create
"You are given a knapsack that can carry a maximum weight of 60. There are 4 items with weights {20, 30, 40, 70} and values {70, 80, 90, 200}. What is the maximum value of the items you can carry using the knapsack?",Remember
"You are given infinite coins of denominations 1, 3, 4. What is the total number of ways in which a sum of 7 can be achieved using these coins if the order of the coins is not important?",Remember
"How to choose an algorithm for solving a single problem, when you have multiple algorithms for solving the same problem? Which from the below functions take less time to solve the given problem? Justify your answer",Create
"Apply Rabin-karp string matching algorithm to find out pattern 31415 in the text 2359023141526739921 to find valid match and spurious hits. Take value of q=13. Compare the result with, if we take value of q=11.","Apply, Evaluate"
"You are given two machine with capability to solve given problems (10^(-4)*(2^n) Seconds and (10^(-6)*(2^n) Seconds respectively. Show the calculation that proves which machine is better for input instance size n=10, 15, 20, 30 and 45. Instead of machine A if we choose to use machine C with capability (10^(-2)*(n^3) Seconds, what kind of significant improvement we may get. Show the complete detail analysis.","Create, Apply, Remember"
"Deduce complexity for divide and conquer based matrix multiplication. Is there any approach by which we can reduce matrix multiplication complexity? If yes, then how?",Analyze
"What do you mean by algorithm designing approach? Do Comparison of Backtrack, Branch bound and Dynamic programming.",Remember
Design minimum cost spanning tree for the following graph using Primâ€™s Algorithm.,Create
State Master Theorem. Solve the following recurrence equations using Master Theorem: a). T (n) = 2T (n/2) + n log n b). T (n) = 3T (n/3) + âˆš n,Remember
Apply activity selection process of greedy approach to get maximum activities to be conducted for given activities (i) with start time (Si) and finish time (Fi).,Apply
Write short note on following: 1. Polynomial Reduction 2. NP-Complete 3. NP-Hard,Create
"Calculate the binomial coefficient C(8,6) using dynamic programming.",Analyze
Derive time recurrence relation of Quick Sort in worst case and solve the recurrence by iterative method.,Create
What is Big Oh notation?,Remember
List out methods to solve recurrence relations.,"Apply, Create"
Write an algorithm to find sum of 1 to 100 numbers and find its complexity.,Create
Explain Master's theorem.,Analyze
Explain Selection Sort with analysis.,Analyze
Compare Merge Sort and Quick sort algorithms in terms of complexity.,Evaluate
Compare Dynamic and Greedy algorithms.,Evaluate
Compare the analysis of Linear and Binary search algorithms.,Evaluate
Write and explain Kruskalâ€™s algorithm with an example.,"Create, Analyze"
"Compute Binomial coefficient C(7,3) using dynamic approach.",Apply
"Solve the following 0/1 knapsack problem using Greedy approach. There are five items whose weights and values are given in following arrays, Weight w[] = { 1,4,5,6,7} and values V[] = { 1,6,18,22,28}. Find out the optimal knapsack items for weight capacity of 11 units.",Create
Explain Job scheduling problem with greedy approach.,Analyze
Write and explain primâ€™s algorithm with an example.,"Create, Analyze"
Explain BFS algorithm with example.,Analyze
Compare Branch and Bound and Backtracking.,Evaluate
"Define Directed graph, Undirected Graph ,Out-degree and in-degree of graph.",Remember
